"Feature","LOD","lower","upper"
"MFR",0.00537259218987464,0.00180139616355877,0.0141570084989925
"FSI",0.00469237596554043,0.00157363939529715,0.0120867784809849
"CAFF",0.00416587699956818,0.00149622313548233,0.010188342542885
"FEM",0.0036474067587921,0.00129179867554465,0.00879951188156639
"THEMIS",0.00147077509742391,0.000280668989410632,0.0037020158195279
