"Variance","MFR_train_auc","MFR_validation_auc","FSI_train_auc","FSI_validation_auc","FEM_train_auc","FEM_validation_auc"
0.84,0.824613,0.822433,0.868224,0.905255,0.829333,0.815777
0.85,0.826254,0.820118,0.876091,0.894722,0.867345,0.885114
0.86,0.826254,0.820118,0.877191,0.901551,0.867345,0.885114
0.87,0.826319,0.820755,0.889037,0.889686,0.872632,0.893448
0.88,0.826319,0.820755,0.893462,0.878574,0.872632,0.893448
0.89,0.844241,0.832735,0.901066,0.893767,0.888034,0.915094
0.9,0.846097,0.838291,0.908848,0.893796,0.892614,0.917815
0.91,0.911685,0.880542,0.919048,0.906181,0.892947,0.918335
0.92,0.91368,0.882452,0.928379,0.897442,0.91251,0.93894
0.93,0.918978,0.884651,0.93393,0.900683,0.918882,0.942181
0.94,0.924909,0.887429,0.943197,0.910869,0.932739,0.954451
0.95,0.935324,0.889686,0.952968,0.907049,0.943229,0.960296
0.96,0.953686,0.898136,0.959103,0.909712,0.956872,0.964
0.97,0.962524,0.893738,0.964182,0.913069,0.969646,0.97002
0.98,0.975717,0.895937,0.964734,0.915557,0.979771,0.96973
0.99,0.993372,0.898136,0.974248,0.912577,0.989875,0.964348
0.82,0.827016,0.820292,0.859397,0.874754,0.845968,0.784929
0.83,0.827016,0.820292,0.883653,0.879355,0.845593,0.783077
0.84,0.827016,0.820292,0.88036,0.888818,0.845593,0.783077
0.85,0.829536,0.810858,0.880323,0.881178,0.845593,0.783077
0.86,0.829536,0.810858,0.897376,0.881873,0.882017,0.857565
0.87,0.829536,0.810858,0.881406,0.880223,0.882017,0.857565
0.88,0.830888,0.819308,0.88863,0.879211,0.883605,0.8615
0.89,0.853626,0.836266,0.894159,0.886416,0.883605,0.8615
0.9,0.861563,0.843963,0.908789,0.891191,0.891048,0.864857
0.91,0.902117,0.882567,0.919911,0.904676,0.905753,0.898831
0.92,0.905614,0.887892,0.917283,0.899959,0.907845,0.896574
0.93,0.9159,0.886214,0.92714,0.903403,0.923912,0.920245
0.94,0.918227,0.886503,0.934026,0.907686,0.945267,0.939345
0.95,0.927677,0.889108,0.946522,0.906066,0.953129,0.940444
0.96,0.935989,0.8953,0.946849,0.901551,0.962481,0.939634
0.97,0.95507,0.897615,0.964047,0.898078,0.972735,0.947563
0.98,0.97694,0.902304,0.965871,0.896979,0.983493,0.951499
0.99,0.994466,0.906818,0.971781,0.89941,0.98301,0.95364
0.82,0.818564,0.837713,0.865988,0.855394,0.829483,0.807501
0.83,0.818564,0.837713,0.876955,0.889021,0.829601,0.809295
0.84,0.818564,0.837713,0.876424,0.889802,0.829601,0.809295
0.85,0.818757,0.835629,0.880859,0.876259,0.829601,0.809295
0.86,0.818757,0.835629,0.882714,0.879558,0.883111,0.870587
0.87,0.818757,0.835629,0.883026,0.879587,0.883111,0.870587
0.88,0.84629,0.863352,0.887048,0.875593,0.883583,0.870008
0.89,0.862346,0.868503,0.898288,0.880773,0.883583,0.870008
0.9,0.863011,0.86833,0.904359,0.897268,0.88428,0.868677
0.91,0.89891,0.898368,0.918769,0.901927,0.908145,0.89368
0.92,0.902278,0.89831,0.937716,0.889455,0.908692,0.892407
0.93,0.907845,0.903403,0.936418,0.895821,0.931302,0.903866
0.94,0.919429,0.903866,0.949246,0.895416,0.939411,0.923834
0.95,0.932492,0.909538,0.944677,0.90757,0.953397,0.929332
0.96,0.948892,0.916889,0.957848,0.895821,0.959864,0.941776
0.97,0.972489,0.915789,0.968037,0.892464,0.973304,0.942586
0.98,0.978581,0.919898,0.95758,0.899583,0.983901,0.943859
0.99,0.994873,0.917004,0.964064,0.901146,0.989371,0.946059
0.82,0.82058,0.831346,0.854356,0.845931,0.827981,0.828047
0.83,0.82058,0.831346,0.87689,0.882654,0.832475,0.828452
0.84,0.82058,0.831346,0.877427,0.873076,0.832475,0.828452
0.85,0.82058,0.831346,0.890432,0.873249,0.832475,0.828452
0.86,0.820666,0.83152,0.901152,0.875072,0.879937,0.874696
0.87,0.820666,0.83152,0.920233,0.852876,0.879937,0.874696
0.88,0.82072,0.831636,0.925934,0.868561,0.87954,0.874349
0.89,0.847963,0.855597,0.888217,0.882047,0.87954,0.874349
0.9,0.847212,0.854208,0.916983,0.893072,0.881266,0.871918
0.91,0.893773,0.905371,0.920887,0.894837,0.900079,0.903866
0.92,0.894877,0.913069,0.931618,0.895185,0.900272,0.902651
0.93,0.894995,0.913705,0.934798,0.89177,0.922947,0.919088
0.94,0.901173,0.91712,0.944494,0.891423,0.932589,0.929795
0.95,0.910322,0.923718,0.957666,0.89287,0.944602,0.956419
0.96,0.917198,0.92256,0.960712,0.89449,0.956164,0.954277
0.97,0.949021,0.925339,0.968027,0.881641,0.970397,0.950284
0.98,0.956561,0.933152,0.96704,0.888124,0.98212,0.958155
0.99,0.971684,0.929158,0.975658,0.891509,0.991827,0.95775
0.82,0.826565,0.816067,0.85397,0.858028,0.820806,0.833719
0.83,0.826565,0.816067,0.886431,0.891249,0.825353,0.835108
0.84,0.826565,0.816067,0.879057,0.887429,0.825353,0.835108
0.85,0.826565,0.816067,0.875378,0.888182,0.877137,0.894722
0.86,0.827456,0.815662,0.876751,0.884767,0.877137,0.894722
0.87,0.827456,0.815662,0.885889,0.881641,0.87718,0.894722
0.88,0.859418,0.840086,0.895939,0.877793,0.87718,0.894722
0.89,0.856619,0.837076,0.907662,0.873944,0.895864,0.898368
0.9,0.856544,0.837308,0.902096,0.89258,0.900187,0.910291
0.91,0.901345,0.893448,0.908671,0.891654,0.900187,0.910291
0.92,0.901828,0.892638,0.916484,0.897615,0.919782,0.92395
0.93,0.904359,0.897095,0.929307,0.893043,0.923955,0.929506
0.94,0.912468,0.906008,0.936112,0.897731,0.940934,0.940387
0.95,0.920576,0.906934,0.945621,0.8953,0.949536,0.94438
0.96,0.948484,0.911622,0.955193,0.896284,0.958577,0.950168
0.97,0.952785,0.907975,0.974087,0.896689,0.967372,0.956187
0.98,0.982163,0.90977,0.983145,0.891017,0.977122,0.954103
0.99,0.996031,0.911332,0.979407,0.90077,0.989124,0.963017
